basicData/name;basicData/title;geoData/address;geoData/zipcode;geoData/country;geoData/latitude;geoData/longitude;geoData/subAdministrativeArea
Extensión AVAM (Matadero) ;Extensión AVAM (Matadero) ;de la Chopera, 14;28045;Spain;40.391665525631;-3.697591423988;Madrid
Palacio de Santa Bárbara;Palacio de Santa Bárbara;de Hortaleza, 87;28004;Spain;40.426266500000;-3.697005800000;Madrid
Parque de la Bombilla;Parque de la Bombilla;de Valladolid, 4;28008;Spain;40.431432302720;-3.730094432831;Madrid
La Academia de las Artes y las Ciencias Cinematográficas de España;La Academia de las Artes y las Ciencias Cinematográficas de España;de Zurbano, 3;28010;Spain;40.427471200000;-3.693890700000;Madrid
Teatro Auditorio San Lorenzo de El Escorial ;Teatro Auditorio San Lorenzo de El Escorial ;Felipe II, s/n;28200;Spain;40.590635037940;-4.144012928009;El Escorial
Auditorio Sony ;Auditorio Sony ;Requena, 1;28013;Spain;40.417006491983;-3.712311387062;Madrid
Mondo Galería;Mondo Galería;de Belén, 2;28004;Spain;40.423879100000;-3.696440100000;Madrid
Alliance Française de Madrid;Alliance Française de Madrid;de Santo Domingo, 13;28013;Spain;40.420160500000;-3.708833600000;Madrid
Cine Paz;Cine Paz;de Fuencarral, 125;28010;Spain;40.430886600000;-3.703327900000;Madrid
Biblioteca Histórica UCM Marqués de Valdecilla;Biblioteca Histórica UCM Marqués de Valdecilla;del Noviciado, 3;28015;Spain;40.425570900000;-3.707941100000;Madrid
Escenario Puente del Rey;Escenario Puente del Rey;del Rey;28008;Spain;40.418876000000;-3.721767300000;Madrid
Fundación Manuel Benedito;Fundación Manuel Benedito;de Juan Bravo, 4;28006;Spain;40.432707200000;-3.685976200000;Madrid
Torre de Madrid;Torre de Madrid;de España, 18;28008;Spain;40.424312200000;-3.712375300000;Madrid
Edificio España;Edificio España;de la Princesa, 19;28008;Spain;40.424065622725;-3.711040019989;Madrid
Cuartel General del Ejército del Aire;Cuartel General del Ejército del Aire;de la Princesa, 87;28008;Spain;40.433203200000;-3.718282700000;Madrid
Arco de la Victoria;Arco de la Victoria;de la Memoria,  2;28040;Spain;40.435931950816;-3.720213174820;Madrid
Cementerio Sacramental de San Isidro;Cementerio Sacramental de San Isidro;Ermita del Santo, 72;28019;Spain;40.399360500000;-3.731777800000;Madrid
Instituto del Patrimonio Cultural de España;Instituto del Patrimonio Cultural de España;Pintor El Greco, 4;28040;Spain;40.441133528064;-3.734868764877;Madrid
Ciudad del BBVA;Ciudad del BBVA;Olmeda, 8;28050;Spain;40.501670100000;-3.664193700000;Madrid
Espacio Cultural Daoíz y Velarde;Espacio Cultural Daoíz y Velarde;Daoíz y Velarde, 4;28007;Spain;40.401707465564;-3.677142262459;Madrid
Estudio Público de Humanidades;Estudio Público de Humanidades;de la Villa, 2;;Spain;40.414246300000;-3.712514800000;Madrid
Estatua de Miguel de Cervantes;Estatua de Miguel de Cervantes;de las Cortes, s/n;28014;Spain;40.415758764136;-3.696706295013;Madrid
Imprenta Juan de la Cuesta;Imprenta Juan de la Cuesta;de San Eugenio, 7;28012;Spain;40.410820700000;-3.697753100000;Madrid
Parque Forestal de Valdebebas-Felipe VI;Parque Forestal de Valdebebas-Felipe VI;de las Fuerzas Armadas, 11;28055;Spain;40.485431300000;-3.637600100000;Madrid
Palacio de los Duques de Pastrana;Palacio de los Duques de Pastrana;de la Habana, 208;28036;Spain;40.467086879566;-3.678723511746;Madrid
Torrespaña (El Pirulí);Torrespaña (El Pirulí);de O'Donnell, 62;28007;Spain;40.420512667151;-3.664203286171;Madrid
Cámara Oscura;Cámara Oscura;de la Alameda, 16, 1º B;28014;Spain;40.411269400000;-3.693865100000;Madrid
Galería Antonio de Suñer;Galería Antonio de Suñer;del Barquillo, 43;28004;Spain;40.423982800000;-3.695595300000;Madrid
La Factoría de Papel;La Factoría de Papel;Buenavista, 8 Bajo;28012;Spain;40.410450000000;-3.698477200000;Madrid
La Fiambrera Art Gallery;La Fiambrera Art Gallery;del Pez, 7;28004;Spain;40.423251930789;-3.704766333103;Madrid
Faro de Moncloa;Faro de Moncloa;de la Memoria, 2;28040;Spain;40.437271170868;-3.721683025360;Madrid
Puente Monumental Parque de Arganzuela ;Puente Monumental Parque de Arganzuela ;de las Yeserías, 19;28005;Spain;40.399367500000;-3.710148300000;Madrid
Estatua de Colón;Estatua de Colón;de Colón, s/n;28001;Spain;40.425204979083;-3.690467476845;Madrid
Viaducto ;Viaducto ;de Bailén, 12;28005;Spain;40.414165886452;-3.713614940643;Madrid
Centro de Arte Dos de Mayo (CA2M) / Móstoles;Centro de Arte Dos de Mayo (CA2M) / Móstoles;de la Constitución , 23;28931;Spain;40.324548800000;-3.863287900000;Móstoles
Biblioteca Pública Municipal Iván de Vargas;Biblioteca Pública Municipal Iván de Vargas;de San Justo, 5;28005;Spain;40.414002512250;-3.709752559662;Madrid
Biblioteca Pública Municipal Mario Vargas Llosa;Biblioteca Pública Municipal Mario Vargas Llosa;Barceló, 4;28004;Spain;40.426515827576;-3.699275851250;Madrid
Biblioteca Pública Benito Pérez Galdós;Biblioteca Pública Benito Pérez Galdós;del Conde Duque, 9;28015;Spain;40.427810316437;-3.711141943932;Madrid
Biblioteca Pública Municipal Eugenio Trías;Biblioteca Pública Municipal Eugenio Trías;Fernán Nuñez, 24;28009;Spain;40.416698135862;-3.679078817368;Madrid
Galería Machado/Muñoz;Galería Machado/Muñoz;José Marañón, 4;28010;Spain;40.428974110075;-3.697865009308;Madrid
Espacio Sin Título de Cano Estudio;Espacio Sin Título de Cano Estudio;de la Alameda, 3;28014;Spain;40.412268500000;-3.693816500000;Madrid
Centro Cultural Lázaro Carreter ;Centro Cultural Lázaro Carreter ;de la Verdad, 29;28019;Spain;40.391547800000;-3.717139700000;Madrid
Winebus;Winebus;Gran Vía, 4;28013;Spain;40.419302800000;-3.697646800000;Madrid
La Usina;La Usina;de Palos de la Frontera, 4;28012;Spain;40.402663373631;-3.700096607208;Madrid
garAJE;garAJE;de Matilde Díez, 11;28002;Spain;40.446024439988;-3.673671483994;Madrid
Teatro Lagrada;Teatro Lagrada;de Ercilla, 20;28005;Spain;40.402647033436;-3.702821731567;Madrid
